compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Naphthalenes,Class,WT_drawdown,18,10,8,0.05819135728464067,-0.1456608715697774,0.24582707040218477,0.3633965388554035,0.010920792307400617,0.03375517622287463,0.03476138153128808,0.19698116201063245
Benzene and substituted derivatives,Class,WT_drawdown,78,38,40,-0.0027327833833310743,-0.14672800648107212,0.0036743763079033487,0.009609907266824144,0.0180579451665015,0.05116417797175425,2.574867239462518e-4,0.002241271671894521
Epoxides,Class,WT_drawdown,8,0,8,-0.4122740254121243,-0.14094069854360222,1.4732918405913065e-4,5.565769175567158e-4,0.030120126064032346,0.07877571432131537,0.11592034566831137,0.28152083948018475
Cinnamaldehydes,Class,WT_drawdown,11,5,6,-0.02174633207366278,-0.1443610236370781,0.07763920100961108,0.12570156353937031,0.03668208227023739,0.08323339506930731,0.32295808241082086,0.47741629573773514
Imidazopyrimidines,Class,WT_drawdown,15,2,13,-0.3838955801550649,-0.1401556615683127,0.0077224875717085695,0.017504305162539424,0.036720615471753225,0.08323339506930731,0.25851416096075464,0.4394740736332829
Pyrimidine nucleosides,Class,WT_drawdown,9,1,8,-0.46480582120537384,-0.14095182666501066,5.704395900362202e-4,0.0019394946061231488,0.044026226087313124,0.09355573043554039,0.29384273801884775,0.45412059512003744
Indoles and derivatives,Class,WT_drawdown,24,4,20,-0.29709579451226475,-0.14114566907847517,1.0007922399790647e-4,4.253367019911025e-4,0.05130639259868391,0.10261278519736781,0.1844097218288288,0.40551763100497096
Fatty Acyls,Class,WT_drawdown,206,58,148,-0.10920574482847427,-0.14897085516905326,7.066330435256606e-9,8.008507826624154e-8,0.05536391090390902,0.10457627615182814,0.5445096388280675,0.7120510661597805
Steroids and steroid derivatives,Class,WT_drawdown,71,15,56,-0.19753803662031075,-0.13926015008869175,0.010247944028028866,0.02177688105956134,0.07464018613567627,0.13356664887436806,0.09414191668423565,0.28152083948018475
Purine nucleosides,Class,WT_drawdown,15,2,13,-0.3172298600441442,-0.1401556615683127,0.4453031112072795,0.5407252064659822,0.08044835414044842,0.1367622020387623,0.25851416096075464,0.4394740736332829
Benzopyrans,Class,WT_drawdown,12,5,7,-0.06271511630374269,-0.14303092114346905,0.9144413835601379,0.9144413835601379,0.11717680047256218,0.18764031676325862,0.361073484998353,0.5115207704143334
Organonitrogen compounds,Class,WT_drawdown,41,15,26,-0.08949130739036526,-0.1425186341669546,0.3393791327224299,0.44380348125240837,0.1214143226115203,0.18764031676325862,0.3934761973272499,0.5351276283650599
Coumarins and derivatives,Class,WT_drawdown,24,8,16,-0.10547542382027592,-0.14296047889080735,0.05005999145641271,0.0851019854759016,0.1415629511408587,0.20926697125170415,0.8239483952672554,0.8754451699714588
Pyrans,Class,WT_drawdown,8,4,4,-0.0025539131311360097,-0.14200634719044014,0.29193696453973295,0.41357736643128834,0.2013524282657786,0.2852492733765197,0.2513788988253294,0.4394740736332829
Unsaturated hydrocarbons,Class,WT_drawdown,13,6,7,-0.016862180118777863,-0.14248341304062373,0.6954915302041246,0.7627971621593623,0.28514038327999147,0.38779092126078846,0.22833566680944895,0.4394740736332829
Azoles,Class,WT_drawdown,13,3,10,-0.24878003289291795,-0.14118176848306208,0.002221252869621937,0.00686569068792235,0.3229490037978453,0.4223179280433362,0.7661598746678131,0.8683145246235215
